GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Most or all lenticels are small, round, white, and abundant, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Moderate number of lenticels are small, round, white, and abundant lenticels, with patchy distribution, where moderate is 20-50%. If elongated, the elongation is parallel to the branch.
2: More than 50% of lenticels are large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Dormant terminal bud
If the terminal bud is growing DO NOT measure. Choose one of the following
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored
2: Stout, pyramid shaped, green or yellow green in color
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Thickness of twig
Stout (thick, hulky)
Slender (thin)
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue","Color of twig
Dark olive green to red brown
Tan to brown
Tan or light green
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue","Hair Texture of twig
Some (or no) hairs
Patchy hairs
Abundant hairs
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure","Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch) and side edges are lobed
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch and side edges are lobed
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure","Nut presence 
(Y/N)","Nut shape/texture if present (without husk): 
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Catkin presence 
(Y/N)","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer
Evenly split
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: Betweeen 11.43 - 13.97 cm 
2: Longer than 13.97 cm
Evenly split
Trait not present
Trait not measurable/ obscured or image quality issue",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,Leaf Scar Angle (°) 1,Leaf Scar Angle (°) 2,Leaf Scar Angle (°) 3,Leaf Scar Angle (°) 4,Leaf Scar Angle (°) 5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Habitat,Latitude,Longitude,Year,Month,Day,Notes
1990213218,NCSC00032267,North Carolina State University Vascular Plant Herbarium (NCSC) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=254,U,"United States, North Carolina, Jackson, North Carolina, Jackson County, Cullowhee, Western Carolina",0,Trait not present,Slender,Dark olive gree to red brown,Abundant hairs,0,N,Trait not present,N,Trait not present,40.972,37.45,Trait not present,Trait not present,Trait not present,0,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,13,13,Trait not present,Trait not present,Trait not present,157.787,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,,35.30943633,-83.1804454,1994,6,3,
2273391813,WCUH0014792,Western Carolina University Herbarium (WCUH) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=248,W,"United States, North Carolina, Buncombe, Busbee Mt. East Fork of Sweeten Creek",1,Trait not present,Stout,Dark olive gree to red brown,Some (or no) hairs,1,N,Trait not present,N,Trait not present,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait to early to measure,9,13,Trait not present,Trait not present,Trait not present,123.633,Trait not present,Trait not present,Trait not present,Trait not present,2,Rich Cove bouldery forest,35.523267,-82.508533,2010,5,5,
1839553214,BR0000009464735,Meise Botanic Garden https://www.botanicalcollections.be/#/en/search/specimen,G,"Arboretum Bokrijk, Genk",0,0,Stout,Dark olive gree to red brown,Abundant hairs,Trait not present,N,Trait not present,N,Trait not present,41.364,17.173,Trait not present,Trait not present,Trait not present,0,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,17,9,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,0,,50.968613,5.408888,2009,9,6,
4898118394,0059735MOR,The Morton Arboretum https://bol.mortonarb.org/,G,"Iroquois Woods Nature Preserve, Otto Township, 4 miles south of Kankakee, IL. Quandrangle: Kankakee, Iroquois River Watershed",Unsure/in between,Trait not present,Stout,Dark olive gree to red brown,Abundant hairs,Trait not measurable/obscured or image quality issue,N,Trait not present,N,2,69.248,Trait not present,Trait not present,Trait not present,Trait not present,1,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,17,Trait not present,Trait not present,Trait not present,Trait not present,Trait not measurable/ obscured or image quality issue,Trait not present,Trait not present,Trait not present,Trait not present,3,Mesic / wet mesic woods.,41.04375,-87.84787,2004,8,27,
4031653399,102469512,Missouri Botanical Garden https://scientific-collections.gbif.org/institution/1be3aa67-8f90-4309-92f4-bd55426a8c09,W,"Table Rock Lake, near W end of Virgin Bluff, a tall mostly N-facing dolomite cliff ca. 2 air mi SE of Cape Fair Public Access Area.",0,Trait not present,Slender,Unsure/in between,Some (or no) hairs,Unsure/in between,N,Trait not present,Y,0,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,6.326,7.182,3.762,4.966,7.51,0,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,,36.702222,-93.5063889,2008,4,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
