GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Small, round, white, and abundant lenticels, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Small, round, white, and abundant lenticels, with patchy distribution. If elongated, the elongation is parallel to the branch.
2: Large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.","Terminal bud
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored",Thickness of twig,Color of twig,Hair Texture,"Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch)
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch
",Nut presence,"Shape/texture of nut
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
",Catkin presence (Y/N),"Color of bark 
0: Dark grey or black
1: Light grey or silvery
2: Tan or slightly pinkish","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: 11.43 - 13.97 cm 
2: Longer than 13.97 cm",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Description of location,Latitude,Longitude,Year,Month,Day,Notes
1990213218,NCSC00032267,North Carolina State University Vascular Plant Herbarium (NCSC) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=254,G,"Herbarium database notes say ""Captive/ Cultivated""",0,0,,,,0,,n/a,N,n/a,n/a,35.657,40.158,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,n/a,n/a,n/a,0,,,,,,,
2273391813,WCUH0014792,Western Carolina University Herbarium (WCUH) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=248,W,,0,0,,,,0,,n/a,N,n/a,0,19.447,46.752,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,11,n/a,n/a,n/a,0,,,,,,,
1839553214,BR0000009464735,Meise Botanic Garden https://www.plantentuinmeise.be/,G,,0,1,,,,n/a,,n/a,N,n/a,n/a,40.994,17.248,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,17,n/a,n/a,n/a,1,,,,,,,
4898118394,0059735MOR,The Morton Arboretum https://bol.mortonarb.org/,W,,0,n/a,,,,0,,n/a,N,n/a,0,68.279,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a,n/a,n/a,n/a,1,,,,,,,
4031653399,102469512,Missouri Botanical Garden https://scientific-collections.gbif.org/institution/1be3aa67-8f90-4309-92f4-bd55426a8c09,W,,0,n/a,,,,0,,,Y,n/a,1,6.136,7.52,6.936,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.569,4.665,6.735,n/a,n/a,0,7,8,7,n/a,n/a,1,,,,,,,
4064846673,MOAR0012727,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,located on a tidal mudflat in Pennsylvania,1,n/a,,,,1,,n/a,N,n/a,n/a,39.602,30.392,12.529,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,11,13,n/a,n/a,2,,,,,,,
1930341905,435639,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,U,"Description states individual was found ""in back yard""",1,n/a,,,,0,,n/a,Y,n/a,n/a,54.62,35.699,15.972,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42.414,37.959,39.973,n/a,n/a,2,13,11,12,n/a,n/a,3,,,,,,,
1258476315,1264379,Missouri Botanical Garden https://scientific-collections.gbif.org/institution/1be3aa67-8f90-4309-92f4-bd55426a8c09,U,Columbia. 615 North 8th Street. Ca. 2 blocks north of intersection of 8th and Rogers streets.,0,0,,,,n/a,,0,N,n/a,n/a,44.662,17.983,n/a,n/a,n/a,n/a,5.858,5.929,n/a,n/a,n/a,3.478,3.11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,8,n/a,n/a,n/a,0,,,,,,,
3435793479,ANHC010142,Arkansas Natural Heritage Commission (ANHC) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=270,W,,0,0,,,,0,,n/a,N,n/a,n/a,46.685,33.973,17.849,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,11,n/a,n/a,0,,,,,,,
4064846685,MOAR0012719,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,G,Herbarium database notes say Cultivated or Captive,1,n/a,,,,n/a,,n/a,Y,n/a,n/a,25.919,20.69,26.263,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.298,11.022,13.394,11.858,13.227,1,7,7,11,n/a,n/a,2,,,,,,,
1928790419,1486114,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,W,"Meadows to Chester County, Pennsylvania, USA",0,0,,,,0,,1,Y,n/a,n/a,23.227,23.163,10.218,6.445,8.86,0,4.211,n/a,n/a,n/a,n/a,3.089,n/a,n/a,n/a,n/a,3.121,1.347,n/a,n/a,n/a,0,13,13,11,11,6,1,,,,,,,
4075435947,DOV0024235,"Delaware State University, Claude E. Phillips Herbarium (DOV) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=334",U,"Herbarium data locality description: United States, Delaware, New Castle, Wooddale 1897",0,n/a,,,,0,,n/a,Y,n/a,n/a,22.201,19.989,26.467,27.832,17.131,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.838,11.132,17.142,14.834,12.605,2,17,13,13,13,17,2,,,,,,,
2573106910,UVMVT080081,"University of Vermont, Pringle Herbarium (VT) https://nansh.org/portal/collections/individual/index.php?occid=24100897",W,,0,1,,,,0,,n/a,Y,n/a,n/a,12.178,18.326,29.921,13.428,10.003,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.681,n/a,n/a,n/a,n/a,0,11,15,15,9,11,1,,,,,,,
4102011907,NLU0198165,"University of Louisiana at Monroe Herbarium, R. Dale Thomas Collection https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=309",G,"This record is published without coordinates, but it includes a textual description of its location.",0,n/a,,,,1,,0,N,n/a,n/a,18.459,28.301,30.913,n/a,n/a,0,3.598,3.645,n/a,n/a,n/a,1.972,1.856,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,9,13,n/a,n/a,1,"Although native of the southern part of the Upper Peninsula, these trees were planted for nuts on farmland. 30' tall.",,,,,,
4517020667,WVW024690,"West Virginia Wesleyan College, George B. Rossbach Herbarium https://sernecportal.org/portal/collections/individual/index.php?occid=32048485",U,"This record is published without coordinates, but it includes a textual description of its location.",1,1,,,,1,,n/a,N,n/a,1,47.999,n/a,n/a,n/a,n/a,1,3.934,4.509,3.777,3.691,4.214,3.006,2.942,2.759,2.732,3.004,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a,n/a,n/a,n/a,5,"In yard on Meade St., Buckhannon, Upshur County, West Virginia",,,,,,
4067768288,MCA0009927,Muhlenberg College https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=330,U,This record is published with coordinates. Points show the historic locality of this individual. Georeference verification status: reviewed - high confidence,0,0,,,,0,,n/a,N,n/a,n/a,59.583,31.756,34.307,18.631,n/a,0,6.485,6.24,5.701,6.206,n/a,2.909,2.55,2.409,2.888,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,13,11,n/a,n/a,0,,,,,,,
4067768299,MCA0009943,Muhlenberg College https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=330,W,,1,1,,,,1,,n/a,N,n/a,n/a,34.891,32.018,n/a,n/a,n/a,0,3.196,4.038,3.985,3.963,n/a,3.446,3.034,3.307,2.839,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a (too many leaves overlapping,n/a,n/a,n/a,3,,,,,,,
4081297225,EIU018579,"Eastern Illinois University, Stover-Ebinger Herbarium (EIU) https://midwestherbaria.org/portal/collections/misc/collprofiles.php?collid=133",W,,0,0,Stout,Dark olive gree to red brown,Some (or no) hairs,n/a,,0,N,n/a,n/a,44.153,21.342,40.356,n/a,n/a,0,4.425,n/a,n/a,n/a,n/a,2.297,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,8,11,n/a,n/a,0,,42.38134,-89.62548,,,,
4064846667,MOAR0012724,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,,0,0,Slender,Tan to brown,Patchy hairs,0,,n/a,N,n/a,1,34.032,14.519,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,13,n/a,n/a,n/a,1,,39.94902,-75.450927,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
