GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Small, round, white, and abundant lenticels, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Small, round, white, and abundant lenticels, with patchy distribution. If elongated, the elongation is parallel to the branch.
2: Large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.","Terminal bud
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored",Thickness of twig,Color of twig,Hair Texture of twig,"Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch)
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch
","Nut presence 
(Y/N)","Shape/texture of nut
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
","Catkin presence 
(Y/N)","Color of bark 
0: Dark grey or black
1: Light grey or silvery
2: Tan or slightly pinkish","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: Betweeen 11.43 - 13.97 cm 
2: Longer than 13.97 cm",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Habitat,Latitude,Longitude,Year,Month,Day,Notes
1990213218,NCSC00032267,North Carolina State University Vascular Plant Herbarium (NCSC) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=254,U,unclear provenance however the notes on the specimen indicate cultivated or captive,0,n/a,n/a,n/a,n/a,0,N,n/a,N,n/a,n/a,40.576,36.246,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,n/a,n/a,n/a,0,n/a,35.309436,-83.180445,1994,6,3,
2273391813,WCUH0014792,Western Carolina University Herbarium (WCUH) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=248,W,,0,n/a,n/a,n/a,n/a,0,N,n/a,N,n/a,0,14.986,6.894,31.867,47.992,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,13,9,13,n/a,0,Rich Cove bouldery forest,35.523267,-82.508533,2010,5,5,
1839553214,BR0000009464735,Meise Botanic Garden https://www.botanicalcollections.be/#/en/search/specimen,W,,0,0,Slender,Tan or light green,Some (or no) hairs,n/a,N,n/a,N,n/a,n/a,17.681,41.448,,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,17,n/a,n/a,n/a,0,n/a,n/a,n/a,2006,9,6,
4898118394,0059735MOR,The Morton Arboretum https://bol.mortonarb.org/,W,,0,n/a,n/a,n/a,n/a,0,N,n/a,N,n/a,0,69.717,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a,n/a,n/a,n/a,1,Mesic / wet mesic woods,41.04375,-87.84787,2004,8,27,
4031653399,102469512,Missouri Botanical Garden https://scientific-collections.gbif.org/institution/1be3aa67-8f90-4309-92f4-bd55426a8c09,W,,n/a,n/a,n/a,n/a,n/a,1,N,n/a,Y,n/a,1,6.903,7.617,3.828,6.205,4.753,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.62,4.207,7.105,7.24,5.437,0,9,9,9,11,n/a,2,n/a,36.702222,-93.5063889,2008,25,4,
4064846673,MOAR0012727,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,U,,2,0,Slender,Dark olive gree to red brown,Abundant hairs,0,N,n/a,N,n/a,n/a,29.776,39.698,12.666,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,11,n/a,n/a,2,n/a,39.853446,-75.287408,2005,6,7,
1930341905,435639,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,U,The coordinates do not match with the address provided they are about 1mile away from each other,1,n/a,n/a,n/a,n/a,1,Y,n/a,Y,n/a,n/a,28.254,18.326,7.96,11.518,18.442,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.663,15.283,20.382,18.282,22.065,2,11,11,9,9,13,4,,41.45,-73.7,2000,5,11,
1258476315,1264379,Missouri Botanical Garden https://scientific-collections.gbif.org/institution/1be3aa67-8f90-4309-92f4-bd55426a8c09,U,,n/a,0,Slender,Tan to brown,n/a,0,Y,n/a,N,n/a,n/a,43.592,17.16,n/a,n/a,n/a,n/a,5.777,5.828,n/a,n/a,n/a,3.097,3.413,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,8,n/a,n/a,n/a,0,n/a,38.95166,-92.33388,1997,7,15,"On this spreadsheet, row 11 seems to have the exact same description of the locality despite being two different individuals. "
3435793479,ANHC010142,Arkansas Natural Heritage Commission (ANHC) https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=270,W,,1,0,Slender,Tan or light green,Abundant hairs,0,N,n/a,N,n/a,n/a,17.35,17.35,47.135,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,12,13,n/a,n/a,1,Mesic hardwood riparian forest,36.0186,-92.97141,2007,6,22,
4064846685,MOAR0012719,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,G,,2,n/a,n/a,n/a,n/a,n/a,N,n/a,Y,n/a,n/a,9.983,24.578,20.538,25.512,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.686,14.848,16.945,9.148,19.699,2,7,7,9,n/a,n/a,4,garden,40.088444,-75.221011,1909,5,25,
1928790419,1486114,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,U,,n/a,0,Slender,Dark olive gree to red brown,Patchy hairs,0,Y,0,Y,n/a,n/a,6.691,23.188,10.077,9.777,21.625,0,4.162,n/a,n/a,n/a,n/a,3.115,n/a,n/a,n/a,n/a,3.177,1.368,n/a,n/a,n/a,0,6,12,10,11,13,0,Meadows,n/a,n/a,1970,n/a,n/a,Chester County
4075435947,DOV0024235,"Delaware State University, Claude E. Phillips Herbarium (DOV) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=334",U,,1,n/a,n/a,n/a,n/a,0,N,n/a,Y,n/a,n/a,22.439,9.905,5.016,20.269,26.061,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.569,10.78,9.472,6.1,12.688,0,9,12,9,12,15,1,,n/a,n/a,1897,5,15,"United States, Delaware, New Castle, Wooddale"
2573106910,UVMVT080081,"University of Vermont, Pringle Herbarium (VT) https://nansh.org/portal/collections/individual/index.php?occid=24100897",U,,1,1,Stout,Dark olive gree to red brown,Some (or no) hairs,1,N,n/a,Y,n/a,n/a,29.978,9.867,12.064,9.931,15.754,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.028,2.294,2.962,3.607,n/a,0,15,15,7,10,15,3,,n/a,n/a,1881,5,22,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.
4102011907,NLU0198165,"University of Louisiana at Monroe Herbarium, R. Dale Thomas Collection https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=309",G,,0,n/a,n/a,n/a,n/a,2,Y,2,N,n/a,n/a,28.713,26.672,13.443,n/a,n/a,0,3.355,3.378,n/a,n/a,n/a,1.754,1.854,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,11,8,n/a,n/a,4,trees were planted for nuts on farmland,,,,,,
4517020667,WVW024690,"West Virginia Wesleyan College, George B. Rossbach Herbarium https://sernecportal.org/portal/collections/individual/index.php?occid=32048485",U,,2,1,Stout,Dark olive gree to red brown,Abundant hairs,0,Y,n/a,N,n/a,1,48.126,n/a,n/a,n/a,n/a,1,4.306,4.141,4.381,3.983,4.053,3.037,3.08,3.028,2.731,2.737,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a,n/a,n/a,n/a,5,In yard on city street,n/a,n/a,1969,10,11,
4067768288,MCA0009927,Muhlenberg College https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=330,U,,1,1,Stout,Tan or light green,Abundant hairs,0,Y,n/a,N,n/a,n/a,44.592,36.848,36.33,34.596,n/a,0,6.067,6.145,5.802,6.343,n/a,2.42,2.982,2.598,2.829,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,9,14,9,n/a,2,wooded slope,40.622561,-75.394963,1964,7,3,(+-1500m) Point moved to historic locality of West Bethlehem; portion of modern Bethlehem in Lehigh County
4067768299,MCA0009943,Muhlenberg College https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=330,W,,1,0,Slender,Tan to brown,Abundant hairs,0,Y,n/a,N,n/a,n/a,34.901,12.156,31.741,37.907,n/a,0,4.036,3.704,3.772,3.663,n/a,3.173,2.891,3.374,2.766,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,7,n/a,9,n/a,1,bottomland,40.870942,-75.593114,1971,7,21,1 mile N of Forest Inn
4081297225,EIU018579,"Eastern Illinois University, Stover-Ebinger Herbarium (EIU) https://midwestherbaria.org/portal/collections/misc/collprofiles.php?collid=133",W,,1,0,Slender,Tan or light green,Some (or no) hairs,n/a,Y,0,N,n/a,n/a,39.052,42.976,20.816,n/a,n/a,n/a,4.314,3.957,n/a,n/a,n/a,2.228,1.933,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,15,9,n/a,n/a,1,Growing at base of disturbed north-facing slope along Cedar Creek.,42.38134,-89.62548,2013,9,5,"USA, Illinois, Stephenson, Along south side of Cedar Creek about 0.4 mile east of State Route 26, northeast of Cedarville, Illinois. Freeport Section of the Rock River Hill Country Natural Division"
4064846667,MOAR0012724,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,,0,0,Slender,Tan or light green,Patchy hairs,0,N,n/a,N,n/a,1,12.444,4.552,34.216,n/,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,9,15,n/a,n/a,1,edge of low area along tributary stream,39.94902,-75.450927,2008,6,12,"United States, Pennsylvania, Delaware, 1.7 km ENE of Gradyville, Ridley Creek State Park"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
